ID,HowRare.is,MoonRank
417,2062,1563
418,4346,3684
419,1658,1275
420,643,670
421,271,350
422,536,477
423,1382,1017
424,9010,8528
425,686,414
426,3718,3117
427,3724,3067
428,3665,2874
429,1481,1612
430,4739,4068
431,5622,4862
432,5857,6014
433,7989,7746
434,6534,7235
435,1681,3259
436,672,443
437,2213,1811
438,4763,4857
439,3769,2941
440,2692,2041
441,9344,8581
442,3374,2820
443,7245,7190
444,9315,8435
445,4808,5768
446,6198,6587
447,4502,3792
448,2094,1471
449,1081,597
450,318,340
451,,9984
452,8160,7612
453,4008,4714
454,2100,2673
455,4242,4829
456,2687,1932
457,3868,4989
458,7738,7283
459,7052,7099
460,8803,7979
461,40,802
462,640,711
463,3040,2629
464,2925,2184
465,7607,8921
466,6414,5678
467,6329,5573
468,7444,6857
469,7,55
470,4327,3535
471,4340,3534
472,2907,2177
473,1143,1217
474,1316,1424
475,5026,5908
476,1298,1036
477,,10014
478,4252,4825
479,5415,4672
480,4820,4345
481,101,56
482,9724,9383
483,7017,6522
484,800,744
485,6720,6819
486,4726,3938
487,3162,2714
488,9980,9975
489,2071,1564
490,3312,2695
491,1333,999
492,8078,7593
493,21,1020
494,3907,3218
495,1943,4142
496,2358,1775
497,8290,8762
498,425,211
499,5926,5122
500,9973,9898
501,5477,4807
502,8646,8666
503,8275,7715
504,2834,3521
505,4286,3554
506,1321,893
507,2762,2186
508,8240,7327
509,3693,4538
510,,10024
511,4691,4110
512,9480,9747
513,5936,5129
514,4751,3975
515,5077,4320
516,6770,7342
517,4677,6710
518,1720,1310
519,1860,4439
520,3555,4427
521,1328,905
522,9601,9831
523,9504,9818
524,7971,8318
525,3390,2641
526,1346,960
527,8540,8081
528,2971,2372
529,1904,1414
530,2456,1890
531,2289,1696
532,5712,4958
533,5994,5743
534,2556,3381
535,8699,7734
536,3260,3825
537,5715,4963
538,3175,2525
539,695,437
540,8148,7621
541,8681,8681
542,3093,4173
543,1221,817
544,3739,5199
545,938,787
546,3797,3306
547,4129,3514
548,1897,1387
549,6661,8014
550,6932,7172
551,2434,1771
552,5084,4321
553,4347,3685
554,2973,2475
555,2820,2680
556,5809,5015
557,1665,1885
558,3894,3346
559,3993,3171
560,1119,675
561,1620,1795
562,934,950
563,184,4164
564,9065,9280
565,3329,2765
566,8083,7594
567,455,1389
568,511,126
569,2555,2943
570,7490,8550
571,8769,8778
572,1693,1259
573,1149,756
574,9880,9787
575,2216,2209
576,8113,6846
577,5870,5177
578,9931,9957
579,2742,3327
580,2312,1763
581,,9985
582,8347,8260
583,6992,7224
584,1480,1611
585,3482,2918
586,4884,4193
587,8002,7085
588,7573,6685
589,6234,6001
590,5802,5188
591,2468,2101
592,3038,3806
593,6208,5517
594,5098,4513
