ID,HowRare.is,MoonRank
0360,3394,3391
0361,1559,3120
0362,5403,4646
0363,8435,8007
0364,2290,2008
0365,9726,9431
0366,1732,1517
0367,6532,6964
0368,9133,8493
0369,408,3386
0370,8759,9660
0371,6456,4961
0372,4889,5175
0373,8665,8137
0374,5703,3059
0375,2461,1676
0376,7479,8147
0377,997,876
0378,1322,67
0379,6298,7537
0380,5732,7656
0381,7343,5716
0382,8170,6247
0383,5683,8402
0384,2177,3999
0385,8149,8880
0386,8136,8967
0387,1688,6186
0388,8872,7901
0389,2327,2427
0390,2296,4227
0391,3653,2859
0392,7146,8371
0393,726,350
0394,5673,5458
0395,1061,1312
0396,8117,2301
0397,2524,1564
0398,5498,6461
0399,1430,112
0400,3346,1315
0401,8685,9244
0402,8670,8310
0403,2965,3773
0404,4312,3195
0405,659,1053
0406,400,263
0407,1587,1214
0408,1884,480
0409,9915,9919
0410,3545,340
0411,8757,8484
0412,3845,4097
0413,1727,1256
0414,4144,4188
0415,1382,2155
0416,7468,6732
0417,1078,4453
0418,9216,9349
0419,7558,5283
0420,366,2113
0421,9484,8700
0422,4095,4060
0423,4636,4860
0424,5088,6600
0425,7789,7554
0426,6963,7784
0427,5575,2689
0428,4361,3377
0429,8614,8211
0430,4343,4613
0431,9105,9133
0432,5758,2336
0433,5957,6197
0434,7531,8599
0435,86,14
0436,5791,6132
0437,2186,2464
0438,1996,5552
0439,7670,7454
0440,3877,1376
0441,9410,9082
0442,542,1182
0443,5051,3265
0444,5350,1960
0445,4868,5562
0446,2566,5573
0447,2906,4341
0448,5074,3551
0449,6497,1195
0450,9919,9925
0451,5642,2902
0452,7518,7994
0453,4136,1732
0454,9794,9891
0455,9014,8712
0456,6361,8208
0457,3087,1274
0458,6642,4330
0459,7509,8346
0460,3723,5921
0461,8672,8767
0462,5974,7018
0463,8866,8670
0464,8810,9629
0465,8314,5799
0466,7349,7520
0467,9084,9066
0468,6356,6528
0469,3983,7337
0470,5771,5516
0471,6464,7274
0472,6521,6849
0473,8451,9096
0474,2689,989
0475,6138,7173
0476,2039,502
0477,8278,6278
0478,2147,1153
0479,1997,2958
0480,9530,8675
0481,9050,9836
0482,6028,391
0483,950,1267
0484,9151,9345
0485,4119,5133
0486,7850,5530
0487,9263,9327
0488,4367,5246
0489,3612,788
0490,1235,1833
0491,2368,3500
0492,8142,6158
0493,9951,9952
0494,8542,8274
0495,3452,1898
0496,3046,6329
0497,3409,2985
0498,7075,5162
0499,8818,9100
0500,45,192
0501,4514,2960
0502,1457,487
0503,7042,6486
0504,6302,2880
0505,9261,9375
0506,2330,3052
0507,8354,9114
0508,3307,636
0509,2737,5020
0510,4811,3042
0511,6047,5803
0512,7004,6441
0513,5268,6712
0514,7761,6388
0515,7422,8174
0516,1419,3427
0517,9736,9742
0518,3694,1634
0519,8130,6331
0520,1083,1952
0521,3524,3021
0522,8746,8707
0523,6540,7480
0524,1432,313
0525,5163,2590
0526,9659,9634
0527,8088,8838
0528,1912,4924
0529,9320,9363
0530,9640,9691
0531,8586,8823
0532,1472,3450
0533,8371,6399
0534,5525,5001
0535,5871,4109
0536,4194,4747
0537,9932,9916
0538,6827,4538
0539,5629,2949
0540,9904,9857
0541,4736,171
0542,8320,7776
0543,5308,4049
0544,9789,9721
0545,4587,4087
0546,1656,3689
0547,9165,8636
0548,8218,8016
0549,8400,7721
0550,9069,7634
0551,9666,9739
0552,1561,1362
0553,6272,7624
0554,9065,9761
0555,3822,5016
0556,8352,6914
0557,642,2728
0558,4236,2748
0559,6195,2585
0560,2145,3654
0561,7617,8744
0562,2629,2041
0563,5392,693
0564,1466,2055
0565,1399,95
0566,8571,8339
0567,1134,3862
0568,4074,5521
0569,6631,6891
0570,8808,8577
0571,3136,7142
0572,4250,3963
0573,5723,5585
0574,9071,8852
0575,800,333
0576,6430,4074
0577,4735,3473
0578,1926,455
